"";"Network";"Variable";"Intercept";"Std.Err.";"t-value";"p-value";"Smooth F-value";"Smooth p-value";"Adj R-sqr";"Expl.Deviance"
"1";"650 km";"Rich_S18";"2.0219830457387e-16";"1.00224568124556";"2.01745249051695e-16";"1";"1.2854680944062";"0.262679751195949";"0.00591475417849618";"0.0266290917020817"
"2";"650 km";"LCBD_S18";"-1.85014210215672e-19";"0.00160412496562394";"-1.15336531866587e-16";"1";"0.972306513309281";"0.344298215227081";"0.00835627767002212";"0.032210866569796"
"3";"650 km";"Repl_S18";"2.68322522778547e-19";"0.00665840324608463";"4.02983287226303e-17";"1";"0.0408161250017669";"0.885570778585522";"-0.0173825505942005";"0.00594832288213905"
"4";"650 km";"RicDif_S18";"-1.14289085647172e-18";"0.00412290835395422";"-2.77205011209038e-16";"1";"0.364279810849097";"0.770328780960974";"-0.00812773322010085";"0.0208520047341701"
"5";"325 km";"Rich_S18";"1.03302226409784e-16";"1.0096622187106";"1.02313649550745e-16";"1";"0.577975235253269";"0.450943305385457";"-0.00885198254469111";"0.0121747160925709"
"6";"325 km";"LCBD_S18";"2.3835597489036e-19";"0.0016132275831001";"1.4775099148275e-16";"1";"0.829461797139838";"0.367302616203514";"-0.00292983069309938";"0.0181911801421158"
"7";"325 km";"Repl_S18";"3.59182445807475e-18";"0.00654080857120354";"5.49140739860215e-16";"1";"1.89009174953012";"0.175734319800887";"0.0182362877959648";"0.0386994063263944"
"8";"325 km";"RicDif_S18";"-6.81489356340936e-19";"0.00413975293099886";"-1.64620779959567e-16";"1";"0.226408491336056";"0.636477256081726";"-0.0163821854839021";"0.0047940426613822"
"9";"100 km";"Rich_S18";"-4.64258310584208e-16";"0.997386199353658";"-4.65474969359977e-16";"1";"1.75789766766534";"0.191527209125271";"0.0155312148842708";"0.036048376373085"
"10";"100 km";"LCBD_S18";"1.37096578490256e-18";"0.0015879593324351";"8.63350689718365e-16";"0.999999999999999";"2.39549698320045";"0.128484284048455";"0.0282422276612793";"0.0484916469371101"
"11";"100 km";"Repl_S18";"4.83417425497657e-18";"0.00651207146884619";"7.4234047923204e-16";"0.999999999999999";"2.32470118613685";"0.134180744407476";"0.026844112607734";"0.0471242316847035"
"12";"100 km";"RicDif_S18";"2.29220434276939e-18";"0.00410020781395798";"5.59045893958408e-16";"1";"1.14172664269507";"0.290782080409766";"0.00294311288212346";"0.0237173151358005"
"13";"65 km";"Rich_S18";"8.14949074325116e-16";"0.997880468210225";"8.16680053660925e-16";"0.999999999999999";"2.00836708939148";"0.438052848105244";"0.0145552382166498";"0.0445744288765257"
"14";"65 km";"LCBD_S18";"-7.86784505637427e-19";"0.00159878472988314";"-4.92114098246945e-16";"1";"1.87327992391395";"0.448533299668342";"0.0149477797602926";"0.0472587140671225"
"15";"65 km";"Repl_S18";"1.73470293819053e-18";"0.00666981563396604";"2.60082591991982e-16";"1";"0.0185777860062084";"0.892194823139571";"-0.0208730915500921";"0.000395267887051025"
"16";"65 km";"RicDif_S18";"-7.88955714155641e-19";"0.00411315950808294";"-1.91812574398156e-16";"1";"0.800276186059796";"0.68321134291667";"-0.00336582171291155";"0.0262101808491591"
"17";"6.5 km";"Rich_S18";"-2.37904933848248e-17";"1.01138646877508";"-2.35226534260816e-17";"1";"0.416946463567032";"0.521793658863102";"-0.0123006575370428";"0.00879272715468994"
"18";"6.5 km";"LCBD_S18";"3.09772049281573e-19";"0.00160389369192499";"1.93137519550803e-16";"1";"1.41858822038554";"0.239676891296604";"0.0086421962662141";"0.0292972971684057"
"19";"6.5 km";"Repl_S18";"1.23908819712629e-18";"0.00651053202321723";"1.90320574832836e-16";"1";"2.75875047836873";"0.333612403212486";"0.0273041639162545";"0.0588465801492635"
"20";"6.5 km";"RicDif_S18";"-8.67361737988404e-19";"0.00413266817173888";"-2.0987935685711e-16";"1";"0.388433989648519";"0.536182043572439";"-0.0129062962277211";"0.00819760354464716"
"21";"Fluvial";"Rich_S18";"4.4805274450616e-16";"1.01478110401195";"4.41526495452839e-16";"1";"0.100106339849918";"0.753199663067763";"-0.0191074689210085";"0.00212558862929212"
"22";"Fluvial";"LCBD_S18";"-3.17457623905768e-19";"0.0016241204818265";"-1.95464331284556e-16";"1";"0.219653573503052";"0.641589100025122";"-0.0165196014935585";"0.00466434533499742"
"23";"Fluvial";"Repl_S18";"1.98255351376173e-18";"0.00661069502307497";"2.99900919168337e-16";"1";"0.863415473950791";"0.357574923893708";"-0.00285545651588115";"0.0180387987794651"
"24";"Fluvial";"RicDif_S18";"-9.68628496199048e-19";"0.00391993758674162";"-2.47103040485959e-16";"1";"4.51250223985926";"0.0773854270640614";"0.0886892270372051";"0.121904319029468"
"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
